Median Home Value,Median Household Income,Zip Code
144500,31865,93267
123000,45024,93268
174300,30142,93270
274300,39345,93271
130700,37448,93272
160000,44775,93274
169800,50066,93277
132000,39038,93280
89100,24821,93283
171800,31761,93285
141900,39783,93286
278100,58125,93287
216400,52546,93291
174500,53507,93292
154700,31721,93301
98800,35059,93304
108100,31179,93305
146000,54126,93306
109700,33711,93307
170900,42543,93308
158300,47593,93309
239000,86026,93311
234900,90495,93312
167600,61226,93313
289500,95830,93314
,,93381
,,93382
545400,52730,93401
371500,57926,93402
564100,40697,93405
,,93407
,,93410
531700,67035,93420
388800,65657,93422
350000,63594,93426
428100,66628,93427
651200,59813,93428
654700,55956,93430
451300,60759,93432
388900,47271,93433
190300,47518,93434
257500,52032,93436
,65142,93437
490400,51010,93442
390200,61751,93444
239200,43367,93445
355600,62529,93446
589400,65859,93449
96100,40469,93450
294100,55670,93451
305600,38333,93452
348600,58190,93453
268700,50912,93454
324700,69602,93455
214500,44209,93458
768500,96071,93460
205200,63750,93461
743100,66146,93463
465800,80884,93465
68500,30250,93501
93600,51238,93505
427300,85096,93510
76200,16625,93512
227400,44583,93513
283700,51218,93514
70400,35872,93516
165400,61940,93517
204900,45382,93518
52700,52569,93523
179200,58958,93526
152600,52170,93527
,39760,93529
270700,82622,93531
246900,62688,93532
131800,35892,93534
118000,44399,93535
216000,70577,93536
155800,56279,93543
167200,51750,93544
191900,32473,93545
496900,70607,93546
137200,38316,93550
243400,80663,93551
159600,56163,93552
191900,50132,93553
181900,61221,93555
124100,59142,93560
217000,57433,93561
46500,31645,93562
288800,85250,93563
77900,41972,93591
252800,53594,93601
233900,58168,93602
426600,36875,93603
390700,60652,93604
126400,30523,93608
233000,47361,93609
155600,40327,93610
254400,78482,93611
159800,39801,93612
220500,46551,93614
146500,27525,93615
226100,31108,93616
153400,38110,93618
358500,106235,93619
107500,34579,93620
392700,32014,93621
120300,32865,93622
,23269,93623
222400,45230,93625
415000,32560,93626
,58977,93628
171100,48115,93630
225900,55266,93631
144900,46933,93635
261100,74538,93636
165200,48974,93637
132300,37280,93638
112100,25019,93640
270900,33622,93641
284300,41875,93643
253900,43376,93644
214900,61589,93645
135800,27906,93646
132800,33205,93647
112800,35499,93648
68900,30205,93650
349400,88080,93651
153100,28750,93652
303600,60750,93653
170800,48817,93654
158300,43864,93656
182600,47781,93657
113800,26978,93660
175200,43790,93662
555000,78750,93664
286000,54459,93667
179000,28571,93668
289300,2499,93669
166300,60743,93675
118600,20201,93701
94000,27372,93702
113700,28663,93703
209800,45866,93704
131100,32485,93705
128700,29275,93706
186400,42286,93710
306500,65678,93711
266300,75200,93720
118500,16597,93721
177500,55500,93722
278100,65045,93723
150800,35974,93725
143400,32796,93726
185300,45760,93727
114900,32215,93728
366500,118396,93730
,,93737
339300,48514,93901
203400,41607,93905
254400,56358,93906
355100,68497,93907
616000,108093,93908
1000001,81125,93920
882300,105714,93923
772900,88926,93924
331600,70909,93925
210400,50933,93926
171600,52642,93927
201000,47262,93930
363000,52736,93933
633700,67513,93940
,,93943
667000,71969,93950
945200,100268,93953
367700,55678,93955
212700,50504,93960
880200,102090,94002
603000,78542,94005
1000001,109775,94010
519100,71739,94014
569500,76978,94015
742500,100394,94019
746600,99716,94020
931000,92375,94021
1000001,165534,94022
1000001,167384,94024
1000001,115444,94025
1000001,220583,94027
1000001,161205,94028
901700,88451,94030
680300,106429,94038
997000,99375,94040
854600,92125,94041
649100,97552,94043
610400,94453,94044
834200,80417,94060
777900,79833,94061
1000001,125060,94062
453300,52818,94063
825100,132337,94065
597900,78911,94066
918100,117679,94070
1000001,84500,94074
586400,77058,94080
503100,91808,94085
666200,96919,94086
909300,114771,94087
168300,85769,94089
,,94101
574100,22517,94102
628000,43364,94103
1000001,48750,94104
740900,163949,94105
719700,114439,94107
856900,35427,94108
723200,60722,94109
768200,82111,94110
882000,89722,94111
602400,71625,94112
1000001,114689,94114
965800,76952,94115
